state,x,y
Andhra Pradesh,-100,-130
Arunachal Pradesh,180,110
Assam,156,77
Bihar,45,62
Chhattisgarh,-32,-6
Goa,-177,-123
Gujarat,-220,14
Haryana,-147,133
Himachal Pradesh,-126,182
Jharkhand,20,30
Karnataka,-155,-140
Kerala,-140,-210
Madhya Pradesh,-130,10
Maharashtra,-170,-55
Manipur,191,43
Meghalaya,128,60
Mizoram,175,20
Nagaland,208,70
Odisha,7,-35
Punjab,-150,160
Rajasthan,-195,80
Sikkim,88,97
Tamil Nadu,-111,-197
Telangana,-93,-80
Tripura,140,27
Uttarakhand,-90,150
Uttar Pradesh,-62,80
West Bengal,69,18
